Country,Year,GDP_per_capita,Internet_users_percent,Life_expectancy,Military_expenditure_percent
Afghanistan,2019,496.6025042585,17.60000038,62.941,1.17096838242129
Afghanistan,2020,510.787063366811,17.04850006,61.454,1.35885692738929
Afghanistan,2021,356.496214115892,16.51429939,60.417,1.827933856217
Albania,2019,6069.43903131027,68.5503911218006,79.467,1.28080596201472
Albania,2020,6027.91350716348,72.23767711,77.824,1.29583570269739
Albania,2021,7242.45513146613,79.32371752,76.844,1.24298808396067
Algeria,2019,4468.45341883656,55.79069901,75.682,5.32695853750995
Algeria,2020,3743.5419522929,63.47269821,73.257,5.88614822110901
Algeria,2021,4160.55926736925,72.21240234,75.208,4.89003270596997
Angola,2019,2493.67884440177,32.12939835,63.051,1.76791430458684
Angola,2020,1759.35619918264,33.32089996,63.116,1.81042916830117
Angola,2021,2303.90812662776,34.55649948,62.958,1.39322266365773
Antigua and Barbuda,2019,18896.3721832248,71.09259796,77.168,1.56628172321816
Antigua and Barbuda,2020,15369.6082250401,71.36840057,77.161,1.56628172321816
Antigua and Barbuda,2021,17348.6006987182,71.64530182,77.197,1.56628172321816
Argentina,2019,9955.97478680428,79.9469520347551,76.847,0.699696134379197
Argentina,2020,8535.59938004389,85.51438646,75.878,0.734111593948744
Argentina,2021,10738.0179223384,87.15070683,73.948,0.631788619254705
Armenia,2019,4597.22887399548,66.5439496866159,76.2219512195122,4.78770584078564
Armenia,2020,4268.68093304583,76.50770055,73.3756097560976,4.98254372367497
Armenia,2021,4685.17997128509,78.61225758,72.2780487804878,4.46514475903396
Australia,2019,55194.7585097428,93.60990143,82.9,1.88000240626833
Australia,2020,51983.4523666382,94.6934967,83.2,2.00738622102391
Australia,2021,60758.9044397144,96.97219849,83.3,1.97847691589702
Austria,2019,49885.9947355204,87.7522047870069,81.8951219512195,0.753133437614439
Austria,2020,48716.4098900349,87.52942813,81.1926829268293,0.885811629497475
Austria,2021,53648.6437976214,92.52915104,81.190243902439,0.873515488270759
Azerbaijan,2019,4805.75371765917,81.0999990651547,73.29,3.8490186357853
Azerbaijan,2020,4229.91064904503,84.59999573,70.312,5.24152602506817
Azerbaijan,2021,5408.04535175023,85.99998954,70.999,4.93051740712765
Bahamas,2019,33640.3369861278,90.69329834,71.408,1.56628172321816
Bahamas,2020,26178.7537607708,92.4437027,72.994,1.56628172321816
Bahamas,2021,30367.8605757708,92.34980011,70.752,1.56628172321816
Bahrain,2019,27259.7438599327,99.7015043807778,80.471,4.02986101554975
Bahrain,2020,24342.8444554718,99.67103159,78.683,4.05746865109248
Bahrain,2021,27147.8083882286,100.0,78.083,3.51979682208909
Bangladesh,2019,2129.79896954606,30.38310051,72.625,1.24410082330294
Bangladesh,2020,2248.85078828233,36.10910034,71.421,1.24468950875224
Bangladesh,2021,2482.84917843357,38.91744466,71.103,1.16873060016575
Barbados,2019,21912.1501242857,70.30709839,76.495,1.56628172321816
Barbados,2020,19194.4919736739,69.89009857,76.647,1.56628172321816
Barbados,2021,21079.6145271791,69.4756012,76.58,1.56628172321816
Belarus,2019,6837.77339645635,82.7891520910901,74.2268292682927,1.39642297566801
Belarus,2020,6542.85579976768,85.08791245,72.1385609756098,1.40325859867166
Belarus,2021,7489.71894713888,86.88841196,72.0714634146342,1.36528926554311
Belgium,2019,46716.6227467964,90.275428012141,81.9951219512195,0.887004950933882
Belgium,2020,45906.2875805246,91.52641629,80.6951219512195,1.00592796693225
Belgium,2021,51658.238294958,92.78867618,81.790243902439,1.04263994220028
Belize,2019,6171.61449761423,58.76520157,72.577,1.01662701573035
Belize,2020,5238.54078175696,64.43589783,71.58,1.26623781790202
Belize,2021,6142.98930557031,70.65370178,70.917,1.0975102664713
Benin,2019,1130.82135339795,20.50099945,59.888,0.473313905552082
Benin,2020,1200.19426557789,22.12059975,60.154,0.458762015150415
Benin,2021,1318.65158075198,28.20470047,59.61,0.550883648806243
Bhutan,2019,3576.87987100503,74.17939758,72.005,1.56628172321816
Bhutan,2020,3191.66906999331,76.85079956,72.253,1.56628172321816
Bhutan,2021,3570.61257980872,85.63688389,72.448,1.56628172321816
Bolivia,2019,4203.15492855788,47.4748191121692,67.82,1.45127092717043
Bolivia,2020,3580.96761778303,59.94010155,62.906,1.39204744468967
Bolivia,2021,4010.76053686204,65.9773785,61.427,1.32579943750687
Bosnia and Herzegovina,2019,6122.37541352353,69.9463476317266,77.394,0.807324224885322
Bosnia and Herzegovina,2020,6130.31187968266,73.21175294,76.04,0.827298283159884
Bosnia and Herzegovina,2021,7295.34378682258,75.67620138,74.567,0.886133600491203
Botswana,2019,7172.08956480028,48.82279968,67.167,3.08122244554008
Botswana,2020,6323.2974967659,51.67819977,67.643,3.33478768726661
Botswana,2021,7807.88794570471,54.70069885,63.303,3.04556932426419
Brazil,2019,9029.83304401079,73.9124399133589,75.809,1.38279724638797
Brazil,2020,7074.19407495707,81.34269353,74.506,1.32666026860555
Brazil,2021,7972.53696080695,80.68989314,73.038,1.14903763026142
Brunei Darussalam,2019,30426.5730656528,95.0,75.049,3.07858724948281
Brunei Darussalam,2020,26834.3592233943,96.30549622,75.114,3.63429176862407
Brunei Darussalam,2021,31006.9636289785,97.62879944,74.869,3.23636748209722
Bulgaria,2019,10353.7204584127,67.9469809417603,75.1121951219512,3.14495072906354
Bulgaria,2020,10760.211975413,70.16248359,73.3560975609756,1.58561827051115
Bulgaria,2021,12966.1457543396,75.27144583,71.2121951219512,1.5107237100085
Burkina Faso,2019,764.853077774946,9.27180600953186,60.184,2.2125520849195
Burkina Faso,2020,825.237038782475,12.97319984,60.454,2.1142418147419
Burkina Faso,2021,895.535288442991,18.1522007,60.046,2.33362863136249
Burundi,2019,234.31061590725,6.072199821,62.18,2.8078168112503
Burundi,2020,255.8324539389,6.430099964,62.569,2.18591328366483
Burundi,2021,264.980379269655,6.777999878,62.101,2.04300976329884
Cape Verde,2019,4380.78117331128,61.9433977593088,75.449,0.431864983823163
Cape Verde,2020,3539.22661248299,69.37339783,73.818,0.618818770532046
Cape Verde,2021,3971.44409203423,70.28250122,74.424,0.546659834120196
Cambodia,2019,2225.87705485686,52.305878224498,70.127,1.62193704891153
Cambodia,2020,2081.73914242939,56.37590027,70.059,1.78010501633067
Cambodia,2021,2167.40324198499,60.76269913,69.301,1.70160776824328
Cameroon,2019,1555.22660476477,36.53919983,61.695,1.06457837839838
Cameroon,2020,1555.60370660749,37.69749832,61.674,0.96440732254506
Cameroon,2021,1672.32657340872,38.89260101,61.146,0.985208787517684
Canada,2019,46352.8693445211,91.91290283,82.1585365853659,1.28451224366918
Canada,2020,43537.839298904,92.3,81.53,1.39399340787119
Canada,2021,52886.6616372703,93.93710327,81.4514634146342,1.25420081409628
Central African Republic,2019,449.228467602439,7.509200096,31.53,1.78989988276583
Central African Republic,2020,462.879071294011,7.509200096,50.596,1.8589727247233
Central African Republic,2021,492.263142830507,7.509200096,40.279,2.14924843936704
Chad,2019,893.336441643325,7.618199825,52.993,1.57360148213511
Chad,2020,866.947814890409,8.343099594,53.082,2.21192688117357
Chad,2021,946.358500208374,9.653699875,53.136,2.07913556881174
Chile,2019,14495.716721687,85.01760101,80.324,1.86471710953666
Chile,2020,13114.815470545,87.45929718,79.349,2.06553058219768
Chile,2021,16206.8325493421,90.23280334,78.876,1.6474241515743
China,2019,10342.9009524335,64.080881297515,77.94,1.68291101151296
China,2020,10627.4637989619,70.05275998,78.019,1.75669947098837
China,2021,12887.4357242941,73.05323517,78.117,1.60525971842503
Colombia,2019,6472.54544924705,65.0069007159493,76.793,3.14565669372153
Colombia,2020,5339.68711357943,69.79533474,74.757,3.53440413219336
Colombia,2021,6222.62164397614,73.02837449,72.698,3.1957582534691
Comoros,2019,1510.23218151592,16.38380051,65.662,1.56628172321816
Comoros,2020,1519.34665556206,22.42040062,65.756,1.56628172321816
Comoros,2021,1554.97289190153,30.68120003,65.201,1.56628172321816
Congo Democratic Republic,2019,504.00419142286,13.02970028,60.242,0.694017431863738
Congo Democratic Republic,2020,486.425572682256,14.51049995,60.428,0.729735329108429
Congo Democratic Republic,2021,595.743074403567,16.1595993,60.044,0.533178814847647
Congo Republic,2019,2488.42466724916,16.11639977,63.152,2.14627657925685
Congo Republic,2020,1993.586671931,21.99850082,64.391,2.60118726630221
Congo Republic,2021,2516.16255145432,30.02739906,64.192,2.34034890602655
