Country,Year,FSI_Category,C1_Security_Apparatus_Disc,C2_Factionalized_Elites_Disc,C3_Group_Grievance_Disc,E1_Economy_Disc,E2_Economic_Inequality_Disc,E3_Human_Flight_and_Brain_Drain_Disc,P1_State_Legitimacy_Disc,P2_Public_Services_Disc,P3_Human_Rights_Disc,S1_Demographic_Pressures_Disc,S2_Refugees_and_IDPs_Disc,X1_External_Intervention_Disc,GDP_Category,Internet_Category,Life_Expectancy_Category,Military_Expenditure_Category
Afghanistan,2019,Very High Alert,High,High,Medium,High,Medium,Medium,High,High,Medium,High,High,High,Low,Low,Medium,Low
Afghanistan,2020,Very High Alert,High,High,Medium,High,Medium,Medium,High,High,Medium,High,High,High,Low,Low,Medium,Low
Afghanistan,2021,Very High Alert,High,High,Medium,High,High,Medium,High,High,Medium,High,High,High,Low,Low,Medium,Medium
Albania,2019,Stable,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,Low,Low,Low,Medium,Low,High,High,Low
Albania,2020,Stable,Medium,Medium,Low,Medium,Low,High,Medium,Low,Low,Low,Low,Medium,Low,High,High,Low
Albania,2021,Stable,Low,Medium,Low,Medium,Low,High,Medium,Low,Low,Low,Low,Medium,Low,High,High,Low
Algeria,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,High,High
Algeria,2020,Warning,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Low,Low,Medium,Medium,High
Algeria,2021,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,High,High,High
Angola,2019,Warning,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Low,Medium,Medium
Angola,2020,Warning,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium
Angola,2021,Warning,Medium,Medium,High,High,High,Medium,High,High,Medium,High,Medium,Low,Low,Medium,Medium,Low
Antigua and Barbuda,2019,Stable,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Medium
Antigua and Barbuda,2020,Stable,Medium,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Medium
Antigua and Barbuda,2021,Stable,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Medium
Argentina,2019,Sustainable,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low
Argentina,2020,Sustainable,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low
Argentina,2021,Stable,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,High,Medium,Low
Armenia,2019,Stable,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,High,High
Armenia,2020,Stable,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,High,Medium,High
Armenia,2021,Stable,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,High,Medium,High
Australia,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Australia,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Australia,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Austria,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low
Austria,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Austria,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Azerbaijan,2019,Warning,Medium,Medium,Medium,Low,Medium,Low,High,Low,High,Low,Medium,Medium,Low,High,Medium,High
Azerbaijan,2020,Warning,Medium,Medium,Medium,Low,Medium,Low,High,Low,High,Low,Medium,Medium,Low,High,Medium,High
Azerbaijan,2021,Warning,Medium,Medium,Medium,Low,Medium,Low,High,Medium,Medium,Low,Medium,Medium,Low,High,Medium,High
Bahamas,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,High,High,Medium,Medium
Bahamas,2020,Sustainable,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,High,Medium,Medium
Bahamas,2021,Stable,Low,Low,Low,Medium,Low,Low,Low,Medium,Low,Medium,Low,Low,High,High,Medium,Medium
Bahrain,2019,Stable,Medium,Medium,High,Low,Low,Low,High,Low,High,Low,Low,Low,Medium,High,High,High
Bahrain,2020,Stable,Medium,Medium,High,Low,Low,Low,High,Low,High,Low,Low,Medium,Medium,High,High,High
Bahrain,2021,Stable,Medium,Medium,High,Low,Medium,Low,High,Low,High,Low,Low,Medium,Medium,High,High,High
Bangladesh,2019,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Low
Bangladesh,2020,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low
Bangladesh,2021,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low
Barbados,2019,Sustainable,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Medium
Barbados,2020,Sustainable,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Medium
Barbados,2021,Sustainable,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Medium
Belarus,2019,Stable,Medium,High,Medium,Medium,Low,Low,High,Low,Medium,Low,Low,Medium,Low,High,Medium,Low
Belarus,2020,Stable,Medium,High,Medium,Low,Low,Low,High,Low,Medium,Low,Low,Medium,Low,High,Medium,Low
Belarus,2021,Stable,Medium,High,Medium,Medium,Low,Low,High,Low,Medium,Medium,Low,Medium,Low,High,Medium,Low
Belgium,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Belgium,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Belgium,2021,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Belize,2019,Stable,Medium,Low,Low,Medium,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Low
Belize,2020,Stable,Medium,Low,Low,Medium,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,Low
Belize,2021,Stable,Medium,Low,Low,Medium,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,High,Medium,Low
